INDEX,SEMS_ACTIVE_SITES.RG,SEMS_ACTIVE_SITES.SITE_ID,SEMS_ACTIVE_SITES.SITE_EPA_ID,SEMS_ACTIVE_SITES.SITE_NAME,SEMS_ACTIVE_SITES.SITE_STRT_ADRS1,SEMS_ACTIVE_SITES.SITE_STRT_ADRS2,SEMS_ACTIVE_SITES.SITE_CITY_NAME,SEMS_ACTIVE_SITES.SITE_STATE,SEMS_ACTIVE_SITES.SITE_ZIP_CODE,SEMS_ACTIVE_SITES.SITE_CONG_DISTRICT,SEMS_ACTIVE_SITES.SITE_CNTY_NAME,SEMS_ACTIVE_SITES.SITE_FIPS_CODE,FIPS_CODE,SEMS_ACTIVE_SITES.LATITUDE,SEMS_ACTIVE_SITES.LONGITUDE,SEMS_ACTIVE_SITES.ALT_AGREEMENT,SEMS_ACTIVE_SITES.NPL,SEMS_ACTIVE_SITES.FF,SEMS_ACTIVE_SITES.NON_NPL_STATUS
2137,2,206695,NYN000206695,USPS SYRACUSE P & DC,5640 E. TAFT ROAD,,SYRACUSE,NY,13220,,ONONDAGA,36067,36067,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
2248,2,204310,NYN000204310,VOORHEESVILLE DEPOT,5850 DEPOT RD.,,ALTAMONT,NY,,,ALBANY,36001,36001,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
2438,2,202724,NYR000199562,GLENMONT JOB CORPS CENTER,822 River Road ,,GLENMONT,NY,12077,,ALBANY,36001,36001,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
2454,2,202571,PR2210010003,FORT BUCHANAN,ROUTE 28,,SAN JUAN,PR,934,,SAN JUAN,72127,72127,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
2665,3,300191,DE8570024010,DOVER AIR FORCE BASE,RTE 113,,DOVER,DE,19901,1,KENT,10001,10001,39.127781,-75.466669,N,Currently on the Final NPL,Y,
2693,3,304470,DED984072306,BOMBAY HOOK NAT'L WILDLIFE REFUGE,MARSHTOWN ROAD,,SMYRNA,DE,19977,1,KENT,10001,10001,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
2724,3,300415,MD0120508940,BELTSVILLE AGRICULTURAL RESEARCH CENTER (USDA),BEAVERDAM AND SHEEP ROADS,,BELTSVILLE,MD,20705,5,PRINCE GEORGE'S,24033,24033,39.029166,-76.884583,N,Currently on the Final NPL,Y,
2727,3,300420,MD0570024000,ANDREWS AIR FORCE BASE,ALLENTOWN ROAD,,ANDREWS AIR FORCE BASE,MD,20762,4,PRINCE GEORGE'S,24033,24033,38.791667,-76.875,N,Currently on the Final NPL,Y,
2740,3,304462,MD9570024803,BRANDYWINE DRMO,BRANDYWINE ROAD AND CHERRY TREE CROSSING,,BRANDYWINE,MD,20613,5,PRINCE GEORGE'S,24033,24033,38.698056,-76.845,N,Currently on the Final NPL,Y,
2766,3,300359,MDD981108202,BRANDYWINE - LAUNCH,CANDY HILL RD,,UPPER MARLBORO,MD,20772,5,PRINCE GEORGE'S,24033,24033,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
2770,3,300391,MDD981109283,WALDORF - LAUNCH,COUNTRY LN,,BRANDYWINE,MD,20613,5,PRINCE GEORGE'S,24033,24033,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
2790,3,303969,MDN000303969,FLETC-DEPARTMENT OF HOMELAND SECURITY,9000 COMMO ROAD,,CHELTHENHAM,MD,20623,5,PRINCE GEORGE'S,24033,24033,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
2812,3,305997,MDN000305997,OXON COVE LANDFILL,OXON HILL ROAD,,OXON HILL,MD,20745,4,PRINCE GEORGE'S,24033,24033,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
2863,3,304177,PA4570028825,193RD SPECIAL OPERATION,62 OLMSTED BLVD. ,,MIDDLETOWN,PA,17057,15,DAUPHIN,42043,42043,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
2864,3,302464,PA5213820892,TOBYHANNA ARMY DEPOT,11 HAP ARNOLD BOULEVARD,,TOBYHANNA,PA,18466-5086,8,MONROE,42089,42089,41.19305,-75.419439,N,Currently on the Final NPL,Y,
2915,2,202743,PRR000024885,FEDERICO DEGETAU FEDERAL OFFICE BUILDING,150 Carlos Chardon Avenue Room 359,,SAN JUAN,PR,918,,SAN JUAN,72127,72127,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
3287,3,304255,VAD988189312,WARRENTON TRAINING CENTER,ROUTE 690,,WARRENTON,VA,22186,10,FAUQUIER,51061,51061,,,N,Not on the NPL,Y,"Referred to Removal - NFRAP"
3365,3,305556,VASFN0305556,NEW RIVER AMMUNITION STORAGE DEPOT,STATE RTE 114,,RADFORD,VA,24141,9,PULASKI,51155,51155,,,N,Not on the NPL,Y,"HRS Ongoing"
3526,3,303867,VA0572890002,VIRGINIA AIR NATIONAL GUARD,RICHMOND INTERNATIONAL AIRPORT,,SANDSTON,VA,23150,7,HENRICO,51087,51087,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3527,3,302839,VA1170024698,CAMP PEARY DOD,INTERSECTION I-64 & RTE 143,,WILLIAMSBURG,VA,23185,1,WILLIAMSBURG CITY,51830,51830,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
3528,3,302840,VA1170024722,MARINE CORPS COMBAT DEVELOPMENT COMMAND,5TH STREET,,QUANTICO,VA,22134,1,PRINCE WILLIAM,51153,51153,38.521667,-77.29,N,Currently on the Final NPL,Y,
3530,3,302842,VA1170090012,USN CAMP PENDLETON,BIRDNECK RD S & GEN BTH BLD,,VIRGINIA BEACH,VA,23453,2,VIRGINIA BEACH CITY,51810,51810,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3531,3,302843,VA1210020730,USA RADFORD AMMUNITION PLANT,STATE RTE 114,,RADFORD,VA,24141,9,PULASKI,51155,51155,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3533,3,302845,VA2170024606,USN NAVAL AIR STN OCEANA,NAS-OCEANA,,VIRGINIA BEACH,VA,23460,2,VIRGINIA BEACH CITY,51810,51810,,,N,Not on the NPL,Y,"Site Reassessment Start Needed"
3539,3,302852,VA5170000181,ST. JULIENS CREEK ANNEX (U.S. NAVY),VICTORY BOULEVARD,,CHESAPEAKE,VA,23323,4,CHESAPEAKE CITY,51550,51550,36.794167,-76.312222,N,Currently on the Final NPL,Y,
3540,3,302853,VA5170022482,NAVAL AMPHIBIOUS BASE LITTLE CREEK,SHORE DRIVE (U.S. ROUTE 60),,VIRGINIA BEACH,VA,23455,2,VIRGINIA BEACH CITY,51810,51810,36.906111,-76.147778,N,Currently on the Final NPL,Y,
3541,3,302854,VA5170022938,USN FLEET COMBAT TRAINING CENTER,1912 REGULUS AVE,,VIRGINIA BEACH,VA,23461,2,VIRGINIA BEACH CITY,51810,51810,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3542,3,304465,VA5170027267,NAVAL SECURITY GROUP ACTIVITY NORTHWEST,NORTHWEST,,CHESAPEAKE,VA,23322,4,CHESAPEAKE CITY,51550,51550,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3546,3,302860,VA6210020875,FORT STORY,BLDG 6300,,VIRGINIA BEACH,VA,23450,2,VIRGINIA BEACH CITY,51810,51810,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3548,3,302862,VA7170024684,NAVAL SURFACE WARFARE CENTER - DAHLGREN,2 MI E OF INTER 301 & 206,,DAHLGREN,VA,22448,1,KING GEORGE,51099,51099,38.326667,-77.026944,N,Currently on the Final NPL,Y,
3550,3,302866,VA7210020981,USA WOODBRIDGE RESEARCH FACILITY,DAWSON BEACH ROAD,,WOODBRIDGE,VA,22191,11,PRINCE WILLIAM,51153,51153,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3553,3,302871,VA8170090015,USN AUXILIARY LANDING FIELD FENT,3-4 MLE S PRINCESS ANN CTHOUSE,,CHESAPEAKE,VA,23322,4,CHESAPEAKE CITY,51550,51550,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3555,3,302873,VA8210020931,USA VINT HILL FARMS STATION,UNOBTAINABLE,,WARRENTON,VA,22186,10,FAUQUIER,51061,51061,,,N,Not on the NPL,Y,"Fed Fac ESI Review Start Needed"
3600,4,405527,ALR000057174,US CDP (FEMA/DHC) - COBRA TRAINING FACILITY,Walt Phillips Road,,ANNISTON,AL,36205,,CALHOUN,1015,01015,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
3626,4,405688,AL2170024630,US NAVAL OUTLYING BARIN FIELD,NAS WHITING FIELD,,FOLEY,AL,36535,1,BALDWIN,1003,01003,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
3629,4,400443,AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),OFF AL HWY 202,,ANNISTON,AL,36253,3,CALHOUN,1015,01015,33.659439,-85.969439,N,Currently on the Final NPL,Y,
3630,4,405907,AL5213820231,USA COOSA RIVER STORAGE ANNEX,4 MILES NE HWY 202,,TALLADEGA,AL,35160,3,TALLADEGA,1121,01121,,,N,Site is Part of NPL Site,Y,
3631,4,400449,AL6210020008,ALABAMA ARMY AMMUNITION PLANT,STATE HWY 235,,CHILDERSBURG,AL,35044,3,TALLADEGA,1121,01121,33.3381,-86.3268,N,Currently on the Final NPL,Y,
3741,4,405539,ALN000405539,US CDP (FEMA/DHS) - BLDG 40/900 AREA,40 TWILL LANE,,ANNISTON,AL,36205,,CALHOUN,1015,01015,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
3856,4,401208,FL2170023244,WHITING FIELD NAVAL AIR STATION,Postal Address is unavailable for the Site,,MILTON,FL,32570,1,SANTA ROSA,12113,12113,30.709722,-87.020417,N,Currently on the Final NPL,Y,
3859,4,405687,FL7170023785,US NAVAL TECH TRNG CORRY STATION,NAS PENSACOLA BLDG 624,,PENSACOLA,FL,32508,1,ESCAMBIA,12033,12033,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3860,4,404746,FL7570024037,HOMESTEAD AIR FORCE BASE,FLORIDA TURNPIKE EAST,,HOMESTEAD AIR FORCE BASE,FL,33039-1299,17,MIAMI-DADE,12086,12086,25.489444,-80.396944,N,Currently on the Final NPL,Y,
3861,4,405686,FL8170023784,US NAVAL FD/TRNG SAUFLEY FIELD,NAS PENSACOLA 624,,PENSACOLA,FL,32508,1,ESCAMBIA,12033,12033,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
3864,4,401221,FL9170024567,PENSACOLA NAVAL AIR STATION,NAVAL AIR STATION BUILDING 3,,PENSACOLA,FL,32508,1,ESCAMBIA,12033,12033,30.357222,-87.283054,N,Currently on the Final NPL,Y,
4328,4,404547,FLN000404544,CG-CROOKED RIVER LIGHT,RT 98,,CARRABELLE,FL,32322,,FRANKLIN,12037,12037,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
4330,4,404582,FLN000404582,UNITED LAUNCH ALLIANCE CCAFS DELTA IV PROGRAM,BEACH ROAD,,CAPE CANAVERAL,FL,32920,,BREVARD,12009,12009,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
4888,5,510263,WIN000510263,NECEDAH NATIONAL WILDLIFE REFUGE,W7996 20TH STREET WEST,,NECEDAH,WI,54646-7531,3,JUNEAU,55057,55057,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5147,5,510265,MIN000510265,US COAST GUARD GROUP SAULT STE. MARIE,337 WATER ST.,,SAULT SAINTE MARIE,MI,49783-2021,1,CHIPPEWA,26033,26033,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5388,6,600777,LA5214020716,FORT POLK & PEASON RIDGE,EHC/DR. STAFF,,FORT POLK,LA,71459,4,VERNON,22115,22115,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5505,6,600779,LA6170022788,NEW ORLEANS NAVAL AIR STATION,"BLDG 50, CODE 70",,NEW ORLEANS,LA,70037,1,ORLEANS,22071,22071,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5506,6,600782,LA9571924050,BARKSDALE AIR FORCE BASE,2 CES/CC BARKSDALE,,BOSSIER CITY,LA,71111,4,BOSSIER,22015,22015,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5751,5,510855,MIN000510855,USCG MIDDLE ISLAND LIGHT STATION,MIDDLE ISLAND,,ALPENA TOWNSHIP,MI,49707,1,ALPENA,26007,26007,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
5759,5,510864,MIN000510864,USCG THUNDER BAY ISLAND,MICHIGAN ISLANDS NATIONAL WILDLIFE,REFUGE,ALPENA TOWNSHIP,MI,49707,1,ALPENA,26007,26007,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
5919,5,504009,MN3170022914,NAVAL INDUSTRIAL RESERVE ORDNANCE PLANT,4800 E RIVER RD,,FRIDLEY,MN,55421,5,ANOKA,27003,27003,45.058831,-93.273669,N,Currently on the Final NPL,Y,
5985,6,605374,LAR000072421,SOUTHEAST LOUSIANA VETERANS HEALTHCARE SYSTEM/REPLACE,2400 Canal Street,,NEW ORLEANS,LA,70119,,ORLEANS,22071,22071,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
6018,6,600911,NMD980750020,LEE ACRES LANDFILL (USDOI),NEAR FARMINGTON,,FARMINGTON,NM,87413,3,SAN JUAN,35045,35045,36.7111,-108.0921,N,Currently on the Final NPL,Y,
6271,5,510865,OHN000510865,USCG OLD STATION ASHTABULA,1 FRONT STREET,,ASHTABULA,OH,44004,14,ASHTABULA,39007,39007,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review  Ongoing"
6441,5,507589,WI0000856096,BUTTERNUT LAKE SITE/NICOLET FOREST,SECTION 33 T40N R12E,,"HILES, TOWNSHIP",WI,54501,7,ONEIDA,55085,55085,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
6444,5,507570,WI0000856955,PHELPS SITE/NICOLET NATIONAL FOREST,SECTION 35 T42N R11E,,PHELPS,WI,54554,8,VILAS,55125,55125,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
6454,5,506513,WI2122390295,FS-NORTH CENTRAL FOREST EXPERIMENTS STATION,5985 County Hwy K,,RHINELANDER,WI,54501,7,ONEIDA,55085,55085,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
6458,5,507619,WI6143690489,FWS-ST. CROIX WETLAND MANAGEMENT DISTRICT,1618 220 th Ave.,,NEW RICHMOND,WI,54017,7,ST. CROIX,55109,55109,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
6509,6,622095,OK9151909117,FCI EL RENO,4205 W Hwy 66,,EL RENO,OK,73036,,CANADIAN,40017,40017,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
6558,5,507442,OH0000206805,SHENANGO DISPOSAL SITE,ORANGEVILLE-KINSMAN ROAD,,VERNON TOWNSHIP,OH,44404,17,TRUMBULL,39155,39155,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
6593,5,504930,OH3971524357,US DOD DEFENSE ELECTRONICS SUPPLY CTR,1507 WILMINGTON PIKE,,DAYTON,OH,45444,3,MONTGOMERY,39113,39113,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
6595,5,506508,OH5210090010,US ARMY - COE PITTSBURGH DISTRICT,OH RTE 88 CO RD 255,,VERNON,OH,44428,11,TRUMBULL,39155,39155,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
6598,5,504935,OH6890008984,MOUND PLANT (USDOE),MOUND RD,,MIAMISBURG,OH,45342,3,MONTGOMERY,39113,39113,39.6264,-84.2862,N,Currently on the Final NPL,Y,
6706,5,510260,MID981948128,FORT CUSTER TRAINING CENTER,2501 26TH STREET,,AUGUSTA,MI,49012-9203,6,KALAMAZOO,26077,26077,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
6726,5,504938,OH7570028764,US AIR FORCE YOUNGSTOWN MAP OHIO,KING GRAVES RD,,VIENNA TWP,OH,44473,17,TRUMBULL,39155,39155,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
6786,5,505182,WID980903454,VOLK FIELD,HWY 94 JUNEAU COUNTY,,CAMP DOUGLAS,WI,54618,6,JUNEAU,55057,55057,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
7153,6,603606,TX6213820529,LONGHORN ARMY AMMUNITION PLANT,HWY 43,,KARNACK,TX,75670,1,HARRISON,48203,48203,32.665,-94.123339,N,Currently on the Final NPL,Y,
7403,4,405529,KYR000051128,"BWXT CONVERSION SERVICES, LLC",Hobbs Road,,KEVIL,KY,42053,,BALLARD,21007,21007,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
7541,4,404796,MS1971590012,USN AIR STATION MERIDIAN,PUBLIC WORKS DEPARTMENT,,MERIDIAN,MS,39309,3,LAUDERDALE,28075,28075,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
7684,5,509105,INN000509105,ATTERBURY RESERVE FORCES TRAINING AREA,HOSPITAL ROAD,,EDINBURGH,IN,46124,2,JOHNSON,18081,18081,,,N,Not on the NPL,Y,"Fed Fac ESI Review Start Needed"
8167,4,404516,NC5690308247,HARVEY POINT DEFENSE TESTING ACTIVITY,2835 HARVEY POINT RD,RT 5,HERTFORD,NC,27944,,PERQUIMANS,37143,37143,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
8168,4,403185,NC6170022580,CAMP LEJEUNE MILITARY RES. (USNAVY),NC HWY 24 & US HWY 16,,ONSLOW COUNTY,NC,28542,"03,07",ONSLOW,37133,37133,34.717781,-77.342919,N,Currently on the Final NPL,Y,
8350,4,403030,NCD980557821,DOW CHEM PLT CAPE FEAR,MOTSU BUFFER ZONE,,CAPE FEAR PENINSULA,NC,28428,7,NEW HANOVER,37129,37129,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
8551,4,404147,TN0210020582,MILAN ARMY AMMUNITION PLANT,HWY 104,,MILAN,TN,38358,8,CARROLL,47017,47017,35.867781,-88.696111,N,Currently on the Final NPL,Y,
8555,4,405534,TN1690399042,U.S. COAST GUARD SHORE SIDE DETACHMENT PAR,700 COAST GUARD RD,,BUCHANAN,TN,38222,,HENRY,47079,47079,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
9072,4,405863,KY3151909113,US FEDERAL CORRECTIONS INSTIT. ASHLAND,FCI ASHLAND/SR 716,,ASHLAND,KY,41101,7,BOYD,21019,21019,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
9073,4,402228,KY3890090001,USDOE H COAL PILOT PLANT,OLD ROUTE 3 & I-64,,CATLETTSBURG,KY,41129,7,BOYD,21019,21019,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
9155,4,404602,TNN000404602,NORRIS HYDRO PLANT,2 miles north of Morris,,JEFFERSON CITY,TN,37760,,JEFFERSON,47089,47089,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
9656,4,410930,TNN000410930,VA MEDICAL CENTER,1310 24TH AVENUE SOUTH,,NASHVILLE,TN,37212,,DAVIDSON,47037,47037,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
9796,10,1001101,WA0570090068,USAF MCCHORD AFB AREA D,AREA D,,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9799,10,1001104,WA1570090067,USAF MCCHORD AFB AREA C,AREA C,,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9806,10,1001110,WA2570090066,USAF MCCHORD AFB AREA A,AREA A,,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9811,10,1001115,WA3891406339,USDOE BPA COVINGTON SUBSTATION,28401 COVINGTON WY SE,,KENT,WA,98031,7,KING,53033,53033,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
9818,10,1001124,WA5570090071,USAF MCCHORD AFB BLDG 1173,N47 8 46.2 W122 30 8.35',,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9820,10,1001128,WA6570090070,USAF MCCHORD AFB BLDG 792,BLDG 792 VICINITY,,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9822,10,1001131,WA7210090067,FORT LEWIS LOGISTICS CENTER,"T19N R2E SECS 21,22,26,27",11 MILES E OF OLYMPIA,TILLICUM,WA,98433,10,PIERCE,53053,53053,47.1142,-122.5365,N,Currently on the Final NPL,Y,
9823,10,1001133,WA8570024200,MCCHORD AIR FORCE BASE (WASH RACK/TREATMENT AREA),MERIDIAN ST - 62ABG/DEEV,,TACOMA,WA,98438,10,PIERCE,53053,53053,47.141111,-122.4889,N,Deleted from the Final NPL,Y,
9827,10,1001137,WA9214053465,FORT LEWIS (LANDFILL NO. 5),ATTN: AFZH-FEQ,11 MI E OF OLYMPIA,TACOMA,WA,98433,10,PIERCE,53053,53053,47.119419,-122.63,N,Deleted from the Final NPL,Y,
9828,10,1001138,WA9570090069,USAF MCCHORD AFB AREA E,AREA E,,MCCHORD AFB,WA,98438,6,PIERCE,53053,53053,,,N,Site is Part of NPL Site,Y,
9917,10,1001855,WAD980725568,USARMY NG WATERCRAFT SUPPORT MAINT CTR,321 E ALEXANDER,,TACOMA,WA,98421,6,PIERCE,53053,53053,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
9922,10,1000995,WAD980833065,AMERICAN LAKE GARDENS/MCCHORD AFB,555 BARNES BLVD.,MCCHORD AIR FORCE BASE,TACOMA,WA,98438,10,PIERCE,53053,53053,47.125,-122.5267,N,Currently on the Final NPL,Y,
10136,9,902940,NVD038275020,VETA GRANDE MINING CO,HWY 395 S,,GARDNERVILLE,NV,89410,2,DOUGLAS,32005,32005,,,N,Not on the NPL,Y,"Assessment Complete - Decision Needed"
10201,9,903098,UMN000903098,WAKE IS AIR FLD,WAKE ISLAND AFB,,WAKE ISLAND AFB,UM,96501,2,WAKE ISLAND,74450,74450,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10202,9,904467,UMN000904467,BAKER ISLAND NATIONAL WILDLIFE,"LAT 0 11' 30' N, LONG 167 29' 0' W",,BAKER ISLAND,UM,96850,2,BAKER ISLAND,74050,74050,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10204,10,1001793,AK0000638023,USDOI NPS DENALI NP: BANJO MINE,"LAT 63 33 10N, LONG 150 51 47W",,DENALI NATIONAL PARK,AK,99755,1,DENALI,2068,02068,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10205,10,1001794,AK0000638031,USDOI NPS DENALI NP: STAMPEDE CREEK MINE,"LAT 63 43 5N, LONG 150 24 0W",,DENALI NATIONAL PARK,AK,99755,1,DENALI,2068,02068,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10210,10,1001926,AK0001413673,USDOI FWS AK MARITIME NWR: AGATTU ISL AWR/NAV,20 MI SW OF SHEMYA,,SHEMYA,AK,99546,1,ALEUTIANS WEST,2016,02016,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
