SEMS_ACTIVE_SITES.RG,SEMS_ACTIVE_SITES.SITE_ID,SEMS_ACTIVE_SITES.SITE_EPA_ID,SEMS_ACTIVE_SITES.SITE_NAME,SEMS_ACTIVE_SITES.SITE_STRT_ADRS1,SEMS_ACTIVE_SITES.SITE_STRT_ADRS2,SEMS_ACTIVE_SITES.SITE_CITY_NAME,SEMS_ACTIVE_SITES.SITE_STATE,SEMS_ACTIVE_SITES.SITE_ZIP_CODE,SEMS_ACTIVE_SITES.SITE_CONG_DISTRICT,SEMS_ACTIVE_SITES.SITE_CNTY_NAME,SEMS_ACTIVE_SITES.SITE_FIPS_CODE,SEMS_ACTIVE_SITES.LATITUDE,SEMS_ACTIVE_SITES.LONGITUDE,SEMS_ACTIVE_SITES.ALT_AGREEMENT,SEMS_ACTIVE_SITES.NPL,SEMS_ACTIVE_SITES.FF,SEMS_ACTIVE_SITES.NON_NPL_STATUS
1,100157,CTD051486686,MATHEIS COURT PROPERTY,270 MAIN STREET (BEHIND),,NORWALK,CT,6851,4,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,102353,CTD051598191,EMHART FASTENING SYSTEM,24 SHELTER ROCK LANE,,DANBURY,CT,6810,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101597,CTD052538105,WHITNON SPINDLE,1784  NEW BRITAIN AVENUE,,FARMINGTON,CT,6032,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100158,CTD052708450,NORANDA METAL INDUSTRIES,PROSPECT DRIVE,,NEWTOWN,CT,6470,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101734,CTD054187455,EDMUNDS MANUFACTURING COMPANY,45 SPRING LANE,,FARMINGTON,CT,6032,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101555,CTD055316152,"CHESTEL, INC. (CONTEL IPC)",67 WINTHROP ROAD,,CHESTER,CT,6412,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,103004,CTD057126823,QUALITY CLEANERS (FORMER),6 QUEEN STREET,,NEWTOWN,CT,06470-2146,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"PA Start Needed"
1,100163,CTD058862194,RISDON CORPORATION,60 ELECTRIC AVENUE,,THOMASTON,CT,6787,6,LITCHFIELD,9005,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100164,CTD059825893,E. B. EXTERMINATING COMPANY,107 MOODUS-LEESVILLE ROAD (RTE 151),,EAST HADDAM,CT,6423,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,101652,CTD059831479,NEW ENGLAND AIRCRAFT PLANT #1 (HOWMET PLANT #1),36 SPRING LANE,,FARMINGTON,CT,6032,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100166,CTD060005766,LIBERTY STREET ANSONIA COPPER AND BRASS,75 LIBERTY STREET,,ANSONIA,CT,6401,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Assessment Complete - Decision Needed"
1,100169,CTD061358792,AIRPAX CORPORATION - PLANT 1 (FORMER)/PHILLIPS ELECTRONICS,150 KNOTTER DRIVE,,CHESHIRE,CT,6410,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,102630,CTD062199369,OMO MANUFACTURING,50 WALNUT STREET,,MIDDLETOWN,CT,6457,3,MIDDLESEX,9007,,,N,Not on the NPL,N,"Referred to Removal - NFRAP"
1,101543,CTD062208053,NEW ENGLAND WOODCRAFTING (FORMER),1135 HARTFORD TURNPIKE,,VERNON,CT,6066,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100175,CTD065519258,DIP N STRIP,1340 MAIN STREET,,COVENTRY,CT,6238,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100176,CTD067072355,"ANAMET, INC.",698 SOUTH MAIN STREET,,WATERBURY,CT,6275,2,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100177,CTD067072371,ANSONIA COPPER & BRASS,725 BANK STREET,,WATERBURY,CT,6706,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101554,CTD069254001,AMSTAR/AMGRAPH PACKAGING,90 VERSAILLES ROAD,,SPRAGUE,CT,6330,2,NEW LONDON,9011,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100180,CTD072122062,BEACON HEIGHTS LANDFILL,BLACKBERRY HILL ROAD,,BEACON FALLS,CT,6403,3,NEW HAVEN,9009,41.43195,-73.035281,N,Currently on the Final NPL,N,
1,100183,CTD072138969,ENVIRONMENTAL WASTE RESOURCES INC (EWR),130 FREIGHT STREET,,WATERBURY,CT,6702,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Removal Only Site (No Site Assessment Work Needed)"
1,100184,CTD075394254,ZOLLO DRUM COMPANY,100 RAILROAD AVENUE,,BEACON FALLS,CT,06403-1000,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,102608,CTD080847742,BRIDGEPORT BRASS (FORMER),391 & 395 CONNECTICUT AVENUE,,NORWALK,CT,6856,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100188,CTD081300113,ILLUSTRATED PRINTING COMPANY,SAYBROOK ROAD,,HADDAM,CT,6438,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,101741,CTD082662289,PERKIN ELMER CORPORATION,77 DANBURY ROAD,,WILTON,CT,6897,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100190,CTD083335463,CLARK DEWATERING LIMITED,299 HOP RIVER ROAD (ROUTE 6),,BOLTON,CT,6084,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100192,CTD083341081,EAST HADDAM MUNICIPAL LANDFILL,NICHOLS ROAD,,EAST HADDAM,CT,6423,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,101626,CTD097216790,WASLEY LIGHTING/AMF/FOUNDERS GROUP,PLAINS ROAD,,ESSEX,CT,6426,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101546,CTD101337103,WILBUR CROSS COMMONS BUSINESS PARK,60 CONNOLLY PARKWAY,,HAMDEN,CT,6514,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100201,CTD108960972,GALLUP'S QUARRY,ROUTE 12,,PLAINFIELD,CT,6374,2,WINDHAM,9015,41.665281,-71.924161,N,Currently on the Final NPL,N,
1,100067,CTD121900948,VA CT HEALTHCARE SYSTEM/NEWINGTON CAMPUS,WILLARD STREET,,NEWINGTON,CT,6111,,NEW HAVEN,9009,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
1,100202,CTD137504569,"JACOBS MANUFACTURING COMPANY, THE",176 NEWINGTON ROAD (FORMERLY JACOBS RD),,WEST HARTFORD,CT,6107,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100203,CTD145339958,KRODEL FOUNDRY,35 PEARL LAKE ROAD,,WATERBURY,CT,6701,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,100204,CTD980499511,SWIFT J. CHEMICAL COMPANY (FORMER),51 ALBANY TURNPIKE,,CANTON,CT,06019-2507,5,HARTFORD,9003,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,100205,CTD980499537,WILTON LANDFILL,MATHER STREET,,WILTON,CT,6897,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100208,CTD980499610,TOLLAND LANDFILL,OLD STAFFORD ROAD,,TOLLAND,CT,6084,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100212,CTD980520340,SHORT BEACH PARK AREA,DORNE DRIVE,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,100213,CTD980520357,RAYBESTOS MEMORIAL FIELD PARKING AREA,FROG POND LANE,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,100214,CTD980520365,HOUSATONIC BOAT CLUB,SHORE ROAD,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,100215,CTD980520464,KEMENT PARK LANDFILL,NORTH ROAD ( ROUTE 140),,EAST WINDSOR,CT,6016,1,HARTFORD,9003,,,N,Not on the NPL,N,"Site Reassessment Ongoing"
1,100221,CTD980521058,SPERRY SEMICONDUCTOR,380 MAIN AVENUE,,NORWALK,CT,6856,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100222,CTD980521066,PFIZER WASTE DISPOSAL AREA,AVERY HILL EXTENSION,,LEDYARD,CT,6339,2,NEW LONDON,9011,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100224,CTD980521082,PINE SWAMP (OLIN CORPORATION),475 PUTNAM AVENUE,,HAMDEN,CT,6514,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100227,CTD980521116,MIDDLETOWN MUNICIPAL LANDFILL,JOHNSON STREET,,MIDDLETOWN,CT,6457,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Other Cleanup Activity - Municipal/Other Government Lead Cleanup"
1,100228,CTD980521124,EAST HARTFORD MUNICIPAL LANDFILL,215 ECOLOGY DRIVE,,EAST HARTFORD,CT,6108,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100230,CTD980521140,WINDHAM MUNICIPAL DUMP,333 BOSTON POST ROAD (ROUTE 6),,WINDHAM,CT,6226,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100232,CTD980521165,"LAUREL PARK, INC.",HUNTERS MTN RD,,NAUGATUCK BOROUGH,CT,6770,3,NEW HAVEN,9009,41.476939,-73.071661,N,Currently on the Final NPL,N,
1,100234,CTD980521181,MANCHESTER SANITARY LANDFILL,263 OLCOTT STREET,,MANCHESTER,CT,6040,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,102698,CTD980522940,RYE HILL CIRCLE/CT CORRECTIONAL INDUSTRIES,BILTON ROAD,,SOMERS,CT,6701,3,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100237,CTD980523104,BEACON POINT LANDFILL,BEACON POINT ROAD,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,100238,CTD980523112,STRATFORD LANDFILL AREA,SHORT BEACH ROAD,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,101711,CTD980523823,"CT DOT ROCKY HILL, WEST  STREET FACILITY",485 WEST STREET,,ROCKY HILL,CT,6067,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100239,CTD980524193,MOTT METALLURGICAL COMPANY,84 SPRING LANE,,PLAINVILLE,CT,6062,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100243,CTD980524235,QUINIQUACK FARM,55 COTTON BRIDGE ROAD,,KILLINGLY,CT,6241,2,WINDHAM,9015,,,N,Not on the NPL,N,"Assessment Complete - Decision Needed"
1,100246,CTD980524623,CHESHIRE MUNICIPAL LANDFILL,WATERBURY ROAD,,CHESHIRE,CT,6410,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100248,CTD980524649,KALADISH WASTE DISPOSAL,426 ANDREWS MOUNTAIN ROAD,,NAUGATUCK,CT,06770-3613,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Referred to Removal - Needs Further Remedial Assessment"
1,102456,CTD980583835,L. C. DOANE COMPANY,RAILROAD AVENUE,,ESSEX,CT,6426,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100249,CTD980667992,O'SULLIVAN'S ISLAND,HOUSATONIC RIVER,,DERBY,CT,6428,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Referred to Removal - NFRAP"
1,100250,CTD980669261,NUTMEG VALLEY ROAD,NUTMEG VALLEY ROAD,,WOLCOTT,CT,6716,5,NEW HAVEN,9009,41.5748,-72.9986,N,Deleted from the Final NPL,N,
1,100251,CTD980670806,OLD SOUTHINGTON LANDFILL,OLD TURNPIKE RD,,SOUTHINGTON,CT,6489,1,HARTFORD,9003,41.579169,-72.881939,N,Deleted from the Final NPL,N,
1,100252,CTD980670814,KELLOGG-DEERING WELL FIELD,NORWALK WATER DEPARTMENT,,NORWALK,CT,6856,4,FAIRFIELD,9001,41.13055,-73.43195,N,Currently on the Final NPL,N,
1,100255,CTD980732333,BARKHAMSTED-NEW HARTFORD LANDFILL,ROUTE 44,,BARKHAMSTED,CT,6063,1,LITCHFIELD,9005,41.893947,-72.989337,N,Currently on the Final NPL,N,
1,100256,CTD980906465,DOD/USN SB/OVERBANK DISPOSAL AREA NE 14,US NAVAL SUBMARINE BASE,,GROTON,CT,6349,2,NEW LONDON,9011,,,N,Site is Part of NPL Site,Y,
1,100257,CTD980906473,DOD/USN SB/POWER PLANT OIL TANKS #11,US NAVAL SUBMARINE BASE,,GROTON,CT,6349,2,NEW LONDON,9011,,,N,Site is Part of NPL Site,Y,
1,100258,CTD980906481,DOD/USN SB/RUBBLE FILL BUNKER A86 #4,US NAVAL SUBMARINE BASE,,GROTON,CT,6349,2,NEW LONDON,9011,,,N,Site is Part of NPL Site,Y,
1,100259,CTD980906499,DOD/USN SB/DPDO AREA SITE #6,US NAVAL SUBMARINE BASE,,GROTON,CT,6349,2,NEW LONDON,9011,,,N,Site is Part of NPL Site,Y,
1,100260,CTD980906507,DOD/USN SB/FUEL OIL STORAGE TANKS 10,US NAVAL SUBMARINE BASE,,GROTON,CT,6349,2,NEW LONDON,9011,,,N,Site is Part of NPL Site,Y,
1,100261,CTD980906515,NEW LONDON SUBMARINE BASE,ROUTE 12 CRYSTAL LAKE RD,,NEW LONDON,CT,6349,2,NEW LONDON,9011,41.400139,-72.087081,N,Currently on the Final NPL,Y,
1,100262,CTD980909840,DONAHUE PROPERTY,PLATT ST AND CHARLES STREET,,NORWALK,CT,6855,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100265,CTD981067317,CHESHIRE GROUND WATER CONTAMINATION,604 WEST JOHNSON AVENUE,,CHESHIRE,CT,6410,5,NEW HAVEN,9009,41.5575,-72.910833,N,Deleted from the Final NPL,N,
1,100269,CTD981069198,DOVER MANUFACTURING CORPORATION,30 TOWN LINE ROAD,,WOLCOTT,CT,6716,5,NEW HAVEN,9009,,,N,Site is Part of NPL Site,N,
1,100273,CTD981069230,LEWIS CORPORATION,716 MAIN STREET,,WOODBURY,CT,6798,6,LITCHFIELD,9005,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,100276,CTD981069263,ROGERS MANUFACTURING COMPANY,72 MAIN STREET,,MIDDLEFIELD,CT,6455,2,MIDDLESEX,9007,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,100279,CTD981069297,STRATFORD INDUSTRIAL PARK,LORDSHIP BOULEVARD,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,100282,CTD981069321,VILLAGE STRIPPER,95-105 MAIN STREET ,,HEBRON,CT,6248,1,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100286,CTD981072168,BETKOSKI'S DUMP,BLACKBERRY HILL ROAD,,BEACON FALLS,CT,6403,5,NEW HAVEN,9009,,,N,Site is Part of NPL Site,N,
1,100292,CTD981204431,PACKER ROAD LANDFILL,PACKER ROAD,,CANTERBURY,CT,6331,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100295,CTD981209836,BETHEL LATEX,268 GREENWOOD AVENUE,,BETHEL,CT,06801-2430,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100304,CTD981212830,"TIME INC., R & D",835 HOPE STREET,,STAMFORD,CT,6901,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100305,CTD981214281,STAMFORD NATURAL GAS STORAGE FACILITY,32 WASHINGTON BOULEVARD,,STAMFORD,CT,6830,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100306,CTD981214299,SCOFIELDTOWN ROAD PARK,SCOFIELDTOWN ROAD,,STAMFORD,CT,6830,4,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100307,CTD981214349,NORTHEAST UTILITIES (FRMR COAL GASIF.),ARCH ST & KENNEDY MEM. DRIVE,,PUTNAM,CT,6260,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100309,CTD981214422,NORTHEAST UTILITIES,WASHINGTON STREET,,WALLINGFORD,CT,6492,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100310,CTD981894280,UNIVERSITY OF CONNECTICUT LANDFILL/WASTE PITS,OFF NORTH  EAGLEVILLE,,MANSFIELD,CT,6268,5,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100312,CTD981898406,BRISTOL COMPANY,40 BRISTOL STREET,,WATERBURY,CT,6701,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,100314,CTD981898422,"HUBBARD HALL CHEMICAL, INC.",563 SOUTH LEONARD STREET,,WATERBURY,CT,6701,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,100316,CTD981898521,NORTHEAST UTILITIES,JACKSON STREET,,WATERBURY,CT,6701,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,100317,CTD981898539,NORTH END DISPOSAL AREA,MARK LANE,,WATERBURY,CT,6701,3,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101679,CTD982191710,"ELECTRO POWER, INC.",VENUS DRIVE,,WOLCOTT,CT,6716,5,NEW HAVEN,9009,,,N,Site is Part of NPL Site,N,
1,101706,CTD982191736,NICKSON INDUSTRIES (FORMER),8 WEST STREET,,SOUTHINGTON,CT,6489,6,HARTFORD,9003,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,101748,CTD982191777,R. P. OLSON AND SON COMPANY,235 QUEEN STREET,,SOUTHINGTON,CT,6489,6,HARTFORD,9003,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,101747,CTD982191785,RAYEX,336 WOODFORD AVENUE,,PLAINVILLE,CT,6062,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,102203,CTD982193781,BUCKS CORNER PLAZA,2249 NEW LONDON TURNPIKE,,GLASTONBURY,CT,06073-2627,,HARTFORD,9003,,,N,Not on the NPL,N,"NFRAP-Site does not qualify for the NPL based on existing information"
1,101833,CTD982196677,PF INDUSTRIES,14 VENUS DRIVE,,WOLCOTT,CT,6716,5,NEW HAVEN,9009,,,N,Site is Part of NPL Site,N,
1,100320,CTD982198780,RYE PESTICIDE SITE,341 RYE STREET,,EAST WINDSOR,CT,6016,1,HARTFORD,9003,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,101580,CTD982198913,CORNWALL DOT GARAGE,24 BUNKER HILL ROAD,,CORNWALL,CT,6753,6,LITCHFIELD,9005,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101581,CTD982198921,D'ADDARIO PROPERTY,HONEYSPOT ROAD,,STRATFORD,CT,6497,3,FAIRFIELD,9001,,,N,Site is Part of NPL Site,N,
1,101582,CTD982198939,DANIELSON DOT GARAGE,78 QUINEBAUG DRIVE,,KILLINGLY,CT,6241,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101583,CTD982198970,ELECTROLUX,30 GREAT HILL ROAD,,SEYMOUR,CT,6483,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101585,CTD982198996,HEMINWAY & BARTLETT MANUFACTURING,30 ECHO LAKE ROAD,,WATERTOWN,CT,6795,6,LITCHFIELD,9005,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101551,CTD982199010,PHILLIPS PROPERTY,NORTH COLONY ROAD & HICKS AVENUE,,MERIDEN,CT,6450,5,NEW HAVEN,9009,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101586,CTD982199036,IVANHOE CORPORATION,16 JEANETTE STREET,,BRISTOL,CT,6010,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101587,CTD982199051,LISBON DOT GARAGE,486 RIVER ROAD (ROUTE 12),,LISBON,CT,6351,2,NEW LONDON,9011,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101590,CTD982199119,NORTHEAST UTILITIES,RIVERSIDE AVENUE (ROUTE 72),,BRISTOL,CT,6010,6,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101604,CTD982199150,CT DOT SEARLES ROAD DISPOSAL FACILITY #33/POMFRET DOT GARAGE,POMFRET ROAD,,POMFRET,CT,6258,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101603,CTD982199168,PORTLAND SAND PIT,WILCOX HILL ROAD,,PORTLAND,CT,6480,1,MIDDLESEX,9007,,,N,Not on the NPL,N,"Site Reassessment Start Needed"
1,101602,CTD982199176,PUTNAM DOT GARAGE (FORMER),ROUTE 44,,PUTNAM,CT,6260,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101566,CTD982199184,AMCO MANUFACTURING (FORMER),215 SOUTH MAIN STREET,,EAST WINDSOR,CT,6016,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101599,CTD982199234,WILLINGTON DOT GARAGE,INTERSECTION OF ROUTES 32 & 74,,WILLINGTON,CT,6279,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101596,CTD982199275,THOMPSON DOT GARAGE,ROUTE 200,,THOMPSON,CT,6277,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101538,CTD982199283,STERLING DOT GRAVEL BANK,ROUTE 14,,STERLING,CT,6377,2,WINDHAM,9015,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101539,CTD982199291,STAFFORD MUNICIPAL LANDFILL,UPPER ROAD,,STAFFORD,CT,6075,2,TOLLAND,9013,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101575,CTD982199481,BROOKFIELD DOT GARAGE,1050 FEDERAL ROAD (ROUTE 7),,BROOKFIELD,CT,6804,5,FAIRFIELD,9001,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
1,101623,CTD982543019,"CT DOT ROCKY HILL, BROOKS STREET FACILITY",660 BROOK STREET,,ROCKY HILL,CT,6067,1,HARTFORD,9003,,,N,Not on the NPL,N,"Other Cleanup Activity: State-Lead Cleanup"
